loop,precision_17,SFS,num selected features,feature idx,n_neighbors
1,0.9857142857142858,SFS,6,"(0, 2, 4, 5, 6, 7)",2
2,0.9866666666666667,SFS,3,"(3, 5, 7)",6
3,0.9866666666666667,SFS,4,"(4, 5, 6, 7)",8
4,0.9866666666666667,SFS,6,"(0, 3, 4, 5, 6, 7)",8
5,0.9866666666666667,SFS,4,"(3, 4, 5, 7)",6
6,0.9866666666666667,SFS,6,"(0, 3, 4, 5, 6, 7)",6
7,0.9866666666666667,SFS,3,"(4, 5, 7)",2
8,0.8469444444444445,SFS,1,"(7,)",4
9,0.9866666666666667,SFS,3,"(0, 4, 7)",1
10,0.9866666666666667,SFS,4,"(0, 4, 5, 7)",3
11,0.9733333333333334,SFS,2,"(4, 7)",5
12,0.82017094017094,SFS,1,"(7,)",7
13,0.9866666666666667,SFS,6,"(0, 3, 4, 5, 6, 7)",6
14,0.9866666666666667,SFS,5,"(3, 4, 5, 6, 7)",5
15,0.9733333333333334,SFS,2,"(4, 7)",5
16,0.9866666666666667,SFS,4,"(3, 4, 5, 7)",6
17,0.9866666666666667,SFS,2,"(5, 7)",6
18,0.9733333333333334,SFS,4,"(3, 4, 5, 7)",7
19,0.9866666666666667,SFS,3,"(4, 5, 7)",2
20,0.9857142857142858,SFS,6,"(0, 1, 2, 4, 5, 7)",3
