loop,precision_6,SFS,num selected features,feature idx,n_neighbors
1,0.7067132867132868,SFS,3,"(4, 6, 7)",9
2,0.6806571206571206,SBS,6,"(0, 2, 4, 5, 6, 7)",8
3,0.8195632798573975,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",2
4,0.31243589743589745,SBS,1,"(4,)",4
5,0.8075641025641026,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",1
6,0.3867614738202973,SFS,1,"(6,)",1
7,0.3506979295214589,SBS,1,"(4,)",7
8,0.7353232732180102,SBS,5,"(0, 2, 3, 4, 6)",5
9,0.7341666666666666,SFS,2,"(2, 4)",2
10,0.6740079365079366,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",6
11,0.9453296703296704,SBS,2,"(4, 7)",1
12,0.3867614738202973,SFS,1,"(6,)",1
13,0.8526440879382056,SFS,4,"(0, 2, 4, 5)",2
14,0.9733333333333334,SBS,2,"(4, 7)",2
15,0.368986013986014,SBS,1,"(4,)",9
16,0.8548737373737373,SBS,6,"(0, 2, 4, 5, 6, 7)",2
17,0.7138195138195138,SBS,3,"(0, 4, 7)",9
18,0.6847985347985348,SBS,5,"(0, 4, 5, 6, 7)",8
19,0.3879365079365079,SFS,1,"(6,)",4
20,0.6856143856143857,SBS,6,"(0, 2, 4, 5, 6, 7)",9
