loop,recall_6,SFS,num selected features,feature idx,n_neighbors
1,0.5857142857142857,SFS,5,"(0, 4, 5, 6, 7)",9
2,0.3714285714285714,SFS,1,"(6,)",9
3,0.6571428571428573,SFS,6,"(0, 2, 4, 5, 6, 7)",3
4,0.9142857142857143,SFS,3,"(4, 5, 7)",1
5,0.7285714285714285,SFS,4,"(4, 5, 6, 7)",2
6,0.7,SFS,5,"(0, 4, 5, 6, 7)",3
7,0.41428571428571426,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",6
8,0.6571428571428573,SFS,6,"(0, 2, 4, 5, 6, 7)",3
9,0.48571428571428565,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",4
10,0.5857142857142857,SFS,5,"(0, 4, 5, 6, 7)",9
11,0.5714285714285714,SFS,5,"(0, 2, 3, 4, 7)",4
12,0.4714285714285714,SFS,6,"(0, 1, 4, 5, 6, 7)",8
13,0.7,SFS,5,"(0, 4, 5, 6, 7)",3
14,0.6285714285714287,SFS,4,"(0, 1, 2, 4)",7
15,0.4714285714285714,SFS,6,"(0, 1, 4, 5, 6, 7)",8
16,0.5142857142857143,SFS,6,"(0, 2, 3, 4, 5, 7)",4
17,0.6285714285714287,SFS,6,"(0, 2, 4, 5, 6, 7)",2
18,0.6714285714285715,SFS,6,"(0, 2, 3, 4, 5, 7)",5
19,0.3142857142857142,SFS,1,"(6,)",3
20,0.5857142857142857,SFS,5,"(0, 4, 5, 6, 7)",9
