loop,recall_2,SFS,num selected features,feature idx,n_neighbors
1,0.5571428571428572,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",7
2,0.6714285714285715,SFS,3,"(0, 2, 4)",9
3,0.9571428571428571,SFS,2,"(4, 5)",1
4,0.5142857142857142,SFS,1,"(0,)",4
5,0.7285714285714285,SFS,4,"(0, 2, 4, 6)",4
6,0.7142857142857142,SFS,6,"(0, 2, 3, 4, 6, 7)",4
7,0.7714285714285716,SFS,3,"(0, 2, 4)",5
8,0.6428571428571429,SFS,4,"(0, 2, 4, 6)",9
9,0.7142857142857142,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",4
10,0.45714285714285713,SFS,1,"(0,)",9
11,0.5428571428571429,SFS,1,"(5,)",3
12,0.5285714285714286,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",5
13,0.5142857142857142,SFS,1,"(0,)",4
14,0.6428571428571429,SFS,4,"(0, 2, 4, 6)",9
15,0.48571428571428565,SFS,1,"(0,)",6
16,0.9571428571428571,SFS,2,"(4, 5)",1
17,0.45714285714285713,SFS,1,"(0,)",9
18,0.48571428571428565,SFS,1,"(0,)",7
19,0.6714285714285714,SFS,5,"(0, 1, 2, 4, 6)",6
20,0.9,SFS,2,"(4, 5)",3
