loop,f1_score_16,SFS,num selected features,feature idx,n_neighbors
1,0.7492889139845661,SBS,3,"(0, 6, 7)",9
2,0.7736296296296296,SBS,4,"(0, 3, 4, 7)",6
3,0.8252307692307692,SFS,5,"(1, 2, 5, 6, 7)",3
4,0.9383931623931623,SFS,2,"(1, 5)",4
5,0.7890294246815986,SFS,6,"(0, 1, 2, 5, 6, 7)",9
6,0.7706192358366272,SFS,3,"(1, 2, 5)",9
7,0.771574879227053,SBS,5,"(0, 3, 5, 6, 7)",8
8,0.8818233618233619,SFS,4,"(1, 2, 5, 7)",1
9,0.8818233618233619,SFS,4,"(1, 2, 5, 7)",1
10,0.885059829059829,SBS,2,"(3, 5)",1
11,0.9452307692307691,SFS,2,"(1, 5)",2
12,0.8065378421900162,SBS,7,"(1, 2, 3, 4, 5, 6, 7)",5
13,0.5564016672982189,SFS,1,"(5,)",5
14,0.7667004493091449,SBS,4,"(0, 5, 6, 7)",8
15,0.8818233618233619,SFS,4,"(1, 2, 5, 7)",1
16,0.3264957264957265,SBS,1,"(6,)",8
17,0.7976588628762541,SFS,3,"(1, 2, 5)",5
18,0.8048123374210331,SBS,5,"(0, 1, 5, 6, 7)",9
19,0.7736296296296296,SBS,4,"(0, 3, 4, 7)",6
20,0.9124672364672366,SFS,2,"(1, 5)",9
