loop,f1_score_16,SFS,num selected features,feature idx,n_neighbors
1,0.7933333333333332,SFS,5,"(1, 2, 4, 5, 6)",8
2,0.7862564102564102,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",6
3,0.8878974358974359,SFS,2,"(1, 5)",7
4,0.797037037037037,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",7
5,0.7933333333333332,SFS,5,"(1, 2, 4, 5, 6)",8
6,0.9108148148148147,SFS,2,"(2, 5)",1
7,0.8990085470085469,SFS,2,"(1, 5)",2
8,0.5137759784075573,SFS,1,"(5,)",2
9,0.7984615384615384,SFS,6,"(1, 2, 3, 4, 5, 6)",5
10,0.8237948717948719,SFS,6,"(1, 2, 3, 4, 5, 6)",4
11,0.5956107660455487,SFS,1,"(5,)",6
12,0.671978021978022,SFS,4,"(1, 2, 5, 7)",9
13,0.7644281644281643,SFS,6,"(1, 2, 3, 4, 5, 7)",9
14,0.8091582491582493,SFS,5,"(1, 2, 4, 5, 6)",5
15,0.8121212121212121,SFS,5,"(1, 2, 4, 5, 6)",6
16,0.8025061783682472,SFS,6,"(0, 1, 2, 4, 5, 6)",6
17,0.7952885278972235,SFS,5,"(1, 2, 4, 5, 6)",4
18,0.8376938616938616,SFS,6,"(1, 2, 3, 4, 5, 6)",3
19,0.7943915343915343,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",8
20,0.9108148148148147,SFS,2,"(2, 5)",1
