loop,recall_10,SFS,num selected features,feature idx,n_neighbors
1,0.5999999999999999,SFS,6,"(0, 1, 2, 3, 4, 6)",1
2,0.4,SFS,1,"(6,)",3
3,0.5571428571428572,SFS,4,"(0, 2, 4, 6)",3
4,0.4,SFS,1,"(6,)",3
5,0.4714285714285714,SFS,6,"(0, 1, 2, 3, 5, 6)",9
6,0.5428571428571429,SFS,6,"(0, 1, 2, 3, 4, 6)",3
7,0.35714285714285715,SFS,1,"(0,)",9
8,0.6142857142857142,SFS,4,"(0, 1, 2, 6)",8
9,0.41428571428571426,SFS,1,"(2,)",2
10,0.6428571428571429,SFS,2,"(2, 3)",2
11,0.42857142857142855,SFS,1,"(6,)",6
12,0.6,SFS,2,"(4, 6)",3
13,0.7571428571428572,SFS,2,"(1, 6)",4
14,0.41428571428571426,SFS,1,"(2,)",2
15,0.42857142857142855,SFS,1,"(6,)",5
16,0.3571428571428571,SFS,1,"(6,)",1
17,0.6714285714285715,SFS,6,"(0, 1, 2, 3, 5, 6)",2
18,0.5428571428571429,SFS,6,"(0, 1, 2, 3, 4, 6)",3
19,0.42857142857142855,SFS,1,"(6,)",6
20,0.6,SFS,2,"(4, 6)",3
