loop,f1_score_5,SFS,num selected features,feature idx,n_neighbors
1,0.9604152762328514,SFS,2,"(0, 7)",5
2,0.9604152762328514,SFS,3,"(0, 1, 3)",4
3,0.6115949410067059,SFS,1,"(0,)",4
4,0.9604152762328514,SFS,6,"(0, 1, 2, 3, 4, 5)",8
5,0.9604152762328514,SFS,6,"(0, 1, 2, 3, 4, 5)",9
6,0.8803999505623532,SFS,5,"(0, 1, 2, 3, 4)",2
7,0.9604152762328514,SFS,6,"(0, 1, 2, 3, 4, 5)",6
8,0.9604152762328514,SFS,2,"(0, 3)",9
9,0.9604152762328514,SFS,5,"(0, 1, 2, 3, 4)",7
10,0.9604152762328514,SFS,2,"(0, 7)",3
11,0.9604152762328514,SFS,3,"(0, 1, 7)",3
12,0.9604152762328514,SFS,2,"(0, 3)",8
13,0.9604152762328514,SFS,3,"(0, 1, 3)",9
14,0.9604152762328514,SFS,2,"(0, 3)",7
15,0.9142623844247872,SFS,2,"(0, 3)",1
16,0.7150271512113618,SFS,1,"(0,)",9
17,0.9604152762328514,SFS,4,"(0, 1, 2, 3)",4
18,0.6115949410067059,SFS,1,"(0,)",4
19,0.9604152762328514,SFS,6,"(0, 1, 2, 3, 4, 5)",4
20,0.9142623844247872,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",1
