loop,f1_score_17,SFS,num selected features,feature idx,n_neighbors
1,0.9856960408684546,SFS,6,"(0, 2, 3, 4, 5, 7)",5
2,0.9862068965517242,SFS,2,"(5, 7)",4
3,0.9856960408684546,SFS,3,"(4, 5, 7)",1
4,0.993103448275862,SBS,3,"(0, 4, 5)",1
5,0.9668520578420468,SBS,2,"(4, 5)",9
6,0.8671550671550673,SBS,1,"(7,)",6
7,0.9724137931034482,SFS,2,"(5, 7)",9
8,0.9862068965517242,SFS,5,"(0, 3, 4, 5, 7)",5
9,0.9787994891443168,SFS,4,"(3, 4, 5, 7)",5
10,0.9788177339901478,SBS,6,"(0, 3, 4, 5, 6, 7)",4
11,0.8595780686993144,SFS,1,"(7,)",7
12,0.9708222811671089,SFS,7,"(0, 1, 3, 4, 5, 6, 7)",1
13,0.9862068965517242,SFS,5,"(0, 3, 4, 5, 7)",5
14,0.9797701149425289,SBS,4,"(0, 3, 4, 5)",9
15,0.993103448275862,SBS,3,"(0, 4, 5)",1
16,0.9856960408684546,SFS,6,"(0, 2, 3, 4, 5, 7)",3
17,0.9703114254838393,SFS,6,"(2, 3, 4, 5, 6, 7)",6
18,0.9856960408684546,SBS,4,"(0, 1, 4, 5)",1
19,0.3439096178406523,SBS,1,"(5,)",7
20,0.9856960408684546,SBS,6,"(0, 2, 3, 4, 5, 7)",3
