loop,f1_score_10,SFS,num selected features,feature idx,n_neighbors
1,0.589507402138981,SFS,2,"(1, 6)",2
2,0.6285995326512568,SFS,2,"(2, 6)",4
3,0.6126523742736927,SFS,5,"(0, 2, 4, 6, 7)",7
4,0.6083321831147919,SFS,6,"(0, 1, 2, 4, 6, 7)",8
5,0.5827898550724638,SFS,4,"(0, 1, 3, 6)",9
6,0.7023387096774194,SFS,5,"(0, 1, 4, 5, 6)",1
7,0.695036012971497,SFS,4,"(0, 1, 4, 6)",3
8,0.645245507180991,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",4
9,0.5827448872966114,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",8
10,0.7324933687002653,SFS,5,"(0, 1, 2, 4, 6)",4
11,0.632201290408187,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",5
12,0.6735482654600301,SFS,3,"(0, 4, 6)",6
13,0.5594748388866037,SFS,2,"(1, 6)",3
14,0.7324933687002653,SFS,4,"(0, 2, 4, 6)",4
15,0.5830098039215686,SFS,2,"(0, 4)",8
16,0.6876415390319728,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",2
17,0.33922835784904753,SFS,1,"(2,)",4
18,0.587660592096076,SFS,3,"(0, 4, 6)",7
19,0.6324277861069465,SFS,3,"(1, 5, 6)",1
20,0.566304347826087,SFS,2,"(0, 4)",7
