loop,f1_score_15,SFS,num selected features,feature idx,n_neighbors
1,0.931054131054131,SFS,5,"(0, 4, 5, 6, 7)",3
2,0.930926810099224,SFS,4,"(0, 2, 4, 7)",2
3,0.8635478927203065,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",7
4,0.8697416249140387,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",4
5,0.8768447204968943,SFS,3,"(0, 4, 5)",9
6,0.8987950469209839,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",2
7,0.8785641025641026,SFS,5,"(0, 1, 4, 5, 7)",8
8,0.912996336996337,SFS,4,"(0, 4, 6, 7)",5
9,0.8987950469209839,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",2
10,0.8808177339901478,SFS,4,"(0, 4, 5, 7)",9
11,0.9475783475783477,SFS,3,"(4, 5, 6)",3
12,0.8963296703296703,SFS,3,"(0, 4, 5)",8
13,0.9406410958135096,SFS,3,"(4, 5, 6)",1
14,0.221263277452183,SFS,1,"(5,)",8
15,0.8813103448275861,SFS,4,"(0, 4, 5, 7)",8
16,0.8813103448275861,SFS,4,"(0, 4, 5, 7)",7
17,0.8742165242165243,SFS,3,"(4, 6, 7)",5
18,0.888022792022792,SFS,2,"(4, 7)",2
19,0.2639259259259259,SFS,1,"(5,)",9
20,0.931054131054131,SFS,5,"(0, 4, 5, 6, 7)",3
