loop,precision_micro,SFS,num selected features,feature idx,n_neighbors
1,0.7773109243697478,SBS,6,"(2, 3, 4, 5, 6, 7)",5
2,0.807563025210084,SBS,5,"(0, 3, 4, 5, 7)",2
3,0.807563025210084,SBS,5,"(0, 3, 4, 5, 7)",2
4,0.7294117647058823,SBS,7,"(0, 2, 3, 4, 5, 6, 7)",9
5,0.4176470588235294,SFS,1,"(6,)",6
6,0.7403361344537815,SBS,5,"(0, 2, 3, 4, 6)",8
7,0.7571428571428571,SFS,4,"(0, 4, 5, 6)",7
8,0.7151260504201681,SFS,2,"(0, 4)",2
9,0.753781512605042,SBS,2,"(3, 4)",4
10,0.8,SFS,3,"(0, 3, 4)",2
11,0.7621848739495798,SBS,4,"(0, 2, 3, 4)",6
12,0.8,SFS,3,"(0, 3, 4)",2
13,0.7621848739495798,SBS,4,"(0, 2, 3, 4)",6
14,0.7142857142857143,SFS,2,"(4, 6)",9
15,0.7512605042016807,SFS,4,"(0, 4, 5, 6)",8
16,0.7445378151260504,SBS,5,"(0, 2, 4, 5, 6)",9
17,0.7781512605042016,SFS,5,"(0, 4, 5, 6, 7)",5
18,0.7445378151260504,SFS,5,"(0, 2, 4, 5, 6)",9
19,0.7680672268907563,SFS,3,"(4, 5, 6)",6
20,0.7268907563025211,SBS,2,"(3, 4)",6
