loop,precision_10,SFS,num selected features,feature idx,n_neighbors
1,0.8595238095238095,SFS,3,"(2, 3, 4)",3
2,0.7686147186147186,SFS,6,"(0, 1, 3, 4, 5, 7)",8
3,0.7504761904761904,SFS,3,"(3, 5, 7)",8
4,0.7457142857142857,SFS,2,"(5, 7)",9
5,0.7957142857142856,SFS,4,"(1, 3, 5, 7)",7
6,0.7817948717948717,SFS,7,"(0, 1, 2, 3, 4, 6, 7)",5
7,0.43555555555555553,SFS,1,"(7,)",9
8,0.3945221445221445,SFS,1,"(3,)",7
9,0.7495238095238096,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",8
10,0.6574242424242425,SFS,4,"(1, 2, 3, 5)",6
11,0.746010101010101,SFS,3,"(1, 5, 6)",1
12,0.8488888888888889,SFS,2,"(0, 3)",5
13,0.8455555555555556,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",1
14,0.7833333333333334,SFS,5,"(1, 2, 3, 5, 6)",1
15,0.7706959706959706,SFS,4,"(1, 2, 5, 7)",9
16,0.7422222222222222,SFS,3,"(1, 3, 5)",6
17,0.8015329768270945,SFS,6,"(0, 1, 2, 4, 6, 7)",4
18,0.9214285714285715,SFS,5,"(0, 1, 3, 4, 6)",5
19,0.6744117647058823,SFS,3,"(0, 4, 6)",2
20,0.698829928241693,SFS,5,"(0, 2, 4, 5, 6)",2
