loop,f1_score_8,SFS,num selected features,feature idx,n_neighbors
1,0.68717868338558,SFS,1,"(0,)",9
2,0.8619890109890109,SFS,4,"(0, 4, 5, 7)",3
3,0.8578783068783069,SFS,3,"(0, 4, 5)",5
4,0.8619890109890109,SFS,4,"(0, 4, 5, 7)",3
5,0.8151612024150594,SFS,4,"(0, 3, 4, 5)",6
6,0.8693972671783767,SFS,3,"(0, 2, 4)",2
7,0.8100915750915751,SFS,5,"(0, 1, 4, 5, 7)",7
8,0.8003759681179036,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",2
9,0.8205128205128205,SFS,4,"(0, 4, 5, 7)",9
10,0.7681720430107527,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",9
11,0.8419562211981567,SFS,2,"(0, 4)",3
12,0.8019200314372729,SFS,2,"(0, 4)",9
13,0.8151612024150594,SFS,4,"(0, 3, 4, 5)",6
14,0.8838306878306877,SFS,3,"(0, 4, 5)",3
15,0.8307177522349937,SFS,3,"(0, 4, 5)",4
16,0.7976708023159635,SFS,6,"(0, 2, 4, 5, 6, 7)",2
17,0.8375682870290406,SFS,3,"(0, 4, 5)",9
18,0.8177380952380954,SFS,6,"(0, 1, 2, 4, 5, 7)",3
19,0.7938057163863615,SFS,6,"(0, 2, 3, 4, 5, 7)",9
20,0.7139787798408488,SFS,1,"(0,)",8
