loop,f1_score_12,SFS,num selected features,feature idx,n_neighbors
1,0.9866666666666667,SFS,5,"(1, 2, 3, 5, 6)",3
2,0.9797701149425289,SFS,6,"(0, 1, 2, 3, 5, 6)",3
3,0.9797701149425289,SFS,4,"(0, 1, 3, 4)",4
4,0.9797701149425289,SFS,6,"(0, 1, 2, 3, 6, 7)",8
5,0.9797701149425289,SFS,3,"(0, 3, 6)",6
6,0.9737486095661847,SFS,7,"(0, 1, 2, 3, 5, 6, 7)",7
7,0.9797701149425289,SFS,6,"(0, 1, 2, 3, 5, 6)",3
8,0.9797701149425289,SFS,3,"(2, 3, 6)",8
9,0.9737486095661847,SFS,7,"(0, 1, 2, 3, 4, 5, 6)",3
10,1.0,SFS,3,"(0, 1, 3)",1
11,0.9797701149425289,SFS,6,"(0, 1, 2, 3, 6, 7)",5
12,0.9797701149425289,SFS,3,"(0, 3, 6)",9
13,0.9797701149425289,SFS,4,"(0, 1, 3, 6)",9
14,0.9797701149425289,SFS,5,"(0, 1, 3, 6, 7)",5
15,0.5976075454336324,SFS,1,"(2,)",3
16,0.9797701149425289,SFS,4,"(0, 1, 3, 6)",6
17,0.993103448275862,SFS,6,"(0, 1, 2, 3, 6, 7)",2
18,0.9866666666666667,SFS,7,"(0, 1, 2, 3, 4, 6, 7)",2
19,0.9737486095661847,SFS,7,"(0, 1, 2, 3, 5, 6, 7)",7
20,0.9866666666666667,SFS,7,"(0, 1, 2, 3, 4, 6, 7)",1
