loop,recall_3,SFS,num selected features,feature idx,n_neighbors
1,0.5714285714285714,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",9
2,0.5428571428571428,SFS,2,"(3, 4)",6
3,0.5428571428571429,SFS,5,"(0, 1, 5, 6, 7)",9
4,0.7571428571428571,SFS,5,"(1, 2, 5, 6, 7)",4
5,0.5428571428571429,SFS,7,"(1, 2, 3, 4, 5, 6, 7)",5
6,0.5857142857142856,SFS,6,"(0, 1, 3, 4, 5, 7)",3
7,0.4,SFS,1,"(5,)",1
8,0.6285714285714286,SFS,5,"(1, 3, 4, 5, 7)",3
9,0.6,SFS,1,"(5,)",2
10,0.6,SFS,7,"(1, 2, 3, 4, 5, 6, 7)",6
11,0.5714285714285714,SFS,3,"(4, 5, 7)",7
12,0.7142857142857142,SFS,4,"(1, 2, 5, 6)",1
13,0.9571428571428571,SFS,3,"(1, 5, 6)",2
14,0.5285714285714286,SFS,6,"(1, 2, 3, 4, 5, 7)",7
15,0.7142857142857142,SFS,4,"(1, 2, 5, 6)",1
16,0.5714285714285714,SFS,6,"(0, 2, 3, 4, 5, 6)",8
17,0.48571428571428577,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",7
18,0.6571428571428571,SFS,4,"(3, 4, 5, 7)",3
19,0.9,SFS,2,"(1, 5)",4
20,0.5428571428571428,SFS,2,"(3, 4)",6
