loop,precision_10,SFS,num selected features,feature idx,n_neighbors
1,0.7167132867132867,SFS,4,"(0, 2, 6, 7)",6
2,0.675,SFS,3,"(2, 3, 5)",2
3,0.716864801864802,SFS,7,"(0, 1, 2, 3, 5, 6, 7)",5
4,0.7414652014652015,SBS,6,"(0, 1, 2, 3, 6, 7)",5
5,0.6987878787878788,SBS,2,"(0, 7)",5
6,0.4806060606060606,SFS,1,"(2,)",6
7,0.656010656010656,SFS,4,"(0, 1, 3, 6)",9
8,0.6785314685314686,SFS,2,"(2, 6)",3
9,0.73,SBS,6,"(0, 1, 2, 3, 5, 6)",2
10,0.2763157894736842,SBS,1,"(3,)",1
11,0.8095238095238095,SBS,2,"(4, 7)",9
12,0.8388461538461538,SBS,4,"(0, 2, 6, 7)",3
13,0.7281746031746031,SFS,6,"(1, 2, 3, 5, 6, 7)",7
14,0.7963186813186812,SBS,3,"(0, 6, 7)",3
15,0.5169803296119084,SFS,1,"(2,)",8
16,0.7004761904761905,SBS,5,"(1, 3, 5, 6, 7)",6
17,0.743968253968254,SBS,5,"(0, 1, 2, 6, 7)",5
18,0.6648684648684648,SBS,7,"(0, 1, 2, 3, 5, 6, 7)",6
19,0.7004761904761905,SFS,4,"(0, 2, 3, 5)",2
20,0.7873076923076923,SFS,3,"(2, 3, 5)",1
