loop,f1_score_6,SFS,num selected features,feature idx,n_neighbors
1,0.6875129500129502,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",5
2,0.7292673992673994,SFS,5,"(0, 2, 4, 5, 6)",4
3,0.5954263128176172,SFS,6,"(0, 2, 3, 4, 5, 7)",8
4,0.6177179142696383,SFS,4,"(0, 4, 5, 7)",8
5,0.5877788877788878,SFS,5,"(0, 2, 4, 5, 7)",8
6,0.7789563948184638,SFS,5,"(0, 4, 5, 6, 7)",1
7,0.9052727604451742,SFS,2,"(4, 6)",3
8,0.8110421836228288,SFS,4,"(0, 4, 5, 6)",3
9,0.8353899240855762,SFS,2,"(4, 6)",4
10,0.6837109557109557,SFS,5,"(0, 2, 4, 5, 7)",7
11,0.6875129500129502,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",5
12,0.6757559681697612,SFS,3,"(2, 4, 6)",9
13,0.8483842083842082,SFS,3,"(4, 5, 6)",3
14,0.9052727604451742,SFS,2,"(4, 6)",3
15,0.8176939003025959,SFS,2,"(4, 7)",7
16,0.8353899240855762,SFS,2,"(4, 6)",4
17,0.3583114647582414,SFS,1,"(4,)",8
18,0.5954263128176172,SFS,6,"(0, 2, 3, 4, 5, 7)",8
19,0.8353899240855762,SFS,2,"(4, 6)",4
20,0.8483842083842082,SFS,3,"(4, 5, 6)",3
