loop,precision_4,SFS,num selected features,feature idx,n_neighbors
1,0.7140047534165181,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",4
2,0.7453388372893016,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",3
3,0.821409179056238,SFS,3,"(0, 4, 6)",6
4,0.8392857142857142,SFS,5,"(0, 1, 2, 4, 6)",1
5,0.9166666666666666,SFS,3,"(0, 4, 6)",3
6,0.8522418757712875,SFS,2,"(0, 4)",5
7,0.6990183509301156,SFS,1,"(0,)",6
8,0.7473915558126084,SFS,4,"(0, 2, 4, 6)",7
9,0.8522418757712875,SFS,2,"(0, 4)",5
10,0.779643225711337,SFS,4,"(0, 2, 4, 6)",6
11,0.7453388372893016,SFS,7,"(0, 1, 2, 4, 5, 6, 7)",3
12,0.779643225711337,SFS,4,"(0, 2, 4, 6)",6
13,0.780328271659541,SFS,5,"(0, 2, 4, 5, 7)",4
14,0.7108333333333332,SFS,5,"(0, 2, 4, 6, 7)",7
15,0.6658539629706677,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",8
16,0.8185947712418299,SFS,4,"(0, 3, 4, 5)",5
17,0.706161616161616,SFS,6,"(0, 2, 4, 5, 6, 7)",6
18,0.8047222222222222,SFS,6,"(0, 1, 2, 4, 6, 7)",1
19,0.8047222222222222,SFS,6,"(0, 1, 2, 4, 6, 7)",1
20,0.6990183509301156,SFS,1,"(0,)",6
