loop,precision_15,SFS,num selected features,feature idx,n_neighbors
1,0.9857142857142858,SFS,3,"(0, 4, 5)",6
2,0.957948717948718,SFS,2,"(5, 7)",1
3,0.3417316017316017,SFS,1,"(5,)",9
4,0.3577073906485671,SFS,1,"(5,)",7
5,0.9857142857142858,SFS,3,"(0, 4, 5)",5
6,1.0,SFS,4,"(0, 2, 4, 5)",5
7,1.0,SFS,5,"(0, 3, 4, 5, 6)",2
8,0.9866666666666667,SFS,4,"(3, 4, 5, 7)",4
9,0.9846153846153847,SFS,4,"(0, 2, 4, 5)",7
10,0.9846153846153847,SFS,4,"(0, 3, 4, 5)",3
11,1.0,SFS,7,"(0, 1, 3, 4, 5, 6, 7)",3
12,0.9538461538461538,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",5
13,0.9833333333333334,SFS,4,"(0, 1, 4, 5)",8
14,0.31264957264957266,SFS,1,"(5,)",3
15,0.9636363636363636,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",8
16,0.975,SFS,2,"(4, 5)",3
17,0.3544588744588745,SFS,1,"(5,)",8
18,0.9636363636363636,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",8
19,0.9636363636363636,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",8
20,0.9493506493506494,SFS,6,"(0, 1, 2, 4, 5, 7)",8
