loop,f1_score_13,SFS,num selected features,feature idx,n_neighbors
1,0.965977011494253,SFS,5,"(1, 2, 3, 5, 6)",5
2,0.6896903266945383,SFS,1,"(6,)",9
3,0.9659770114942529,SFS,3,"(1, 3, 6)",9
4,0.965977011494253,SFS,5,"(0, 1, 3, 5, 6)",7
5,0.9793103448275863,SFS,4,"(0, 5, 6, 7)",3
6,0.9410604375231738,SFS,7,"(0, 1, 2, 3, 5, 6, 7)",6
7,0.965977011494253,SFS,6,"(0, 1, 2, 3, 5, 6)",8
8,0.9659770114942529,SFS,2,"(3, 6)",5
9,0.9793103448275863,SFS,4,"(1, 2, 3, 6)",2
10,0.9793103448275863,SFS,3,"(0, 6, 7)",1
11,0.6865771674523469,SFS,1,"(6,)",8
12,0.9659770114942529,SFS,2,"(3, 6)",5
13,0.965977011494253,SFS,5,"(1, 2, 3, 5, 6)",5
14,0.9599555061179089,SFS,2,"(3, 6)",7
15,0.965977011494253,SFS,5,"(0, 1, 3, 5, 6)",6
16,0.9793103448275863,SFS,5,"(0, 1, 2, 6, 7)",1
17,0.965977011494253,SFS,4,"(0, 3, 5, 6)",7
18,0.6548487234373515,SFS,1,"(6,)",7
19,0.947081942899518,SFS,6,"(0, 1, 2, 3, 5, 6)",9
20,0.965977011494253,SFS,6,"(0, 1, 2, 3, 5, 6)",8
