loop,precision_15,SFS,num selected features,feature idx,n_neighbors
1,0.9703296703296704,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",9
2,0.9857142857142858,SFS,6,"(0, 1, 2, 4, 5, 6)",5
3,0.9866666666666667,SFS,4,"(0, 1, 4, 5)",4
4,0.9703296703296704,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",9
5,0.9866666666666667,SFS,3,"(0, 4, 5)",3
6,0.97,SFS,3,"(4, 5, 7)",6
7,0.9846153846153847,SFS,4,"(3, 5, 6, 7)",2
8,0.9857142857142858,SFS,4,"(2, 3, 5, 7)",1
9,0.9866666666666667,SFS,5,"(2, 3, 4, 5, 7)",1
10,0.9833333333333334,SFS,5,"(0, 2, 3, 4, 5)",8
11,1.0,SFS,6,"(0, 1, 2, 3, 4, 5)",3
12,0.9712820512820514,SFS,4,"(3, 4, 5, 7)",6
13,1.0,SFS,5,"(0, 1, 2, 4, 5)",7
14,0.9866666666666667,SFS,3,"(0, 4, 5)",3
15,0.9541991341991342,SFS,2,"(4, 5)",9
16,0.9857142857142858,SFS,6,"(0, 1, 2, 4, 5, 6)",5
17,0.9846153846153847,SFS,5,"(0, 2, 3, 4, 5)",9
18,0.46923076923076923,SFS,1,"(5,)",3
19,0.9857142857142858,SFS,7,"(0, 1, 2, 3, 4, 5, 7)",8
20,1.0,SFS,5,"(0, 1, 2, 4, 5)",7
