loop,recall_8,SFS,num selected features,feature idx,n_neighbors
1,0.8714285714285716,SFS,4,"(0, 4, 5, 7)",5
2,0.8,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",3
3,0.8571428571428571,SFS,4,"(0, 4, 6, 7)",4
4,0.8428571428571429,SFS,6,"(0, 2, 4, 5, 6, 7)",3
5,0.6428571428571429,SFS,2,"(0, 4)",9
6,0.7571428571428571,SFS,2,"(0, 7)",1
7,0.6285714285714286,SFS,2,"(0, 4)",4
8,0.8,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",3
9,0.8857142857142858,SFS,4,"(0, 4, 5, 7)",9
10,0.9,SFS,5,"(0, 4, 5, 6, 7)",3
11,0.7428571428571429,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",8
12,0.6428571428571429,SFS,2,"(0, 4)",6
13,0.8714285714285716,SFS,5,"(0, 3, 4, 5, 7)",7
14,0.6714285714285715,SFS,1,"(0,)",2
15,0.9285714285714286,SFS,4,"(0, 4, 5, 7)",1
16,0.7428571428571429,SFS,6,"(0, 3, 4, 5, 6, 7)",8
17,0.9,SFS,3,"(0, 4, 5)",7
18,0.8142857142857143,SFS,6,"(0, 1, 2, 4, 5, 7)",2
19,0.8857142857142858,SFS,4,"(0, 4, 5, 7)",9
20,0.9428571428571428,SFS,3,"(0, 4, 7)",1
