loop,precision_11,SFS,num selected features,feature idx,n_neighbors
1,0.8228545963840082,SBS,4,"(0, 3, 5, 7)",6
2,0.6784052059052059,SBS,2,"(0, 7)",2
3,0.8099577709871827,SBS,4,"(0, 2, 4, 5)",7
4,0.8163736263736263,SFS,3,"(0, 3, 4)",4
5,0.38234037204625443,SFS,1,"(2,)",3
6,0.7765065000359118,SFS,4,"(0, 1, 2, 6)",7
7,0.8207792207792208,SFS,2,"(1, 2)",2
8,0.841025641025641,SFS,5,"(0, 1, 2, 3, 4)",4
9,0.3712121212121212,SFS,1,"(0,)",4
10,0.8673260073260074,SBS,5,"(1, 2, 3, 4, 5)",3
11,0.8148076923076923,SFS,6,"(0, 1, 2, 3, 5, 6)",1
12,0.22794094794094794,SBS,1,"(4,)",7
13,0.8673260073260074,SBS,4,"(2, 3, 4, 5)",3
14,0.3311387163561077,SFS,1,"(2,)",5
15,0.6883116883116883,SBS,2,"(4, 5)",3
16,0.8884249084249085,SBS,4,"(0, 3, 5, 7)",2
17,0.7919022154316272,SFS,6,"(0, 1, 2, 4, 5, 6)",7
18,0.7891187244128421,SFS,3,"(2, 3, 5)",1
19,0.8614141414141414,SBS,3,"(3, 4, 5)",3
20,0.3712121212121212,SBS,1,"(0,)",4
