loop,accuracy,SFS,num selected features,feature idx,n_neighbors
1,0.7588235294117647,SFS,3,"(0, 4, 5)",8
2,0.7798319327731092,SFS,5,"(0, 3, 4, 5, 6)",5
3,0.8092436974789916,SFS,3,"(4, 6, 7)",2
4,0.7865546218487395,SFS,4,"(0, 4, 5, 6)",5
5,0.7731092436974789,SBS,5,"(0, 4, 5, 6, 7)",6
6,0.7857142857142857,SBS,2,"(4, 5)",4
7,0.7621848739495798,SBS,5,"(0, 2, 3, 4, 6)",7
8,0.7428571428571429,SFS,7,"(0, 1, 3, 4, 5, 6, 7)",9
9,0.7680672268907562,SBS,2,"(4, 5)",6
10,0.7529411764705882,SBS,7,"(0, 1, 2, 3, 4, 6, 7)",7
11,0.8495798319327731,SBS,5,"(0, 2, 3, 4, 5)",1
12,0.7378151260504202,SFS,6,"(0, 2, 4, 5, 6, 7)",8
13,0.7529411764705882,SBS,7,"(0, 1, 2, 3, 4, 6, 7)",7
14,0.834453781512605,SBS,7,"(0, 2, 3, 4, 5, 6, 7)",1
15,0.7521008403361344,SFS,2,"(4, 6)",5
16,0.3865546218487395,SFS,1,"(0,)",3
17,0.834453781512605,SFS,7,"(0, 2, 3, 4, 5, 6, 7)",1
18,0.7176470588235293,SFS,2,"(0, 4)",8
19,0.41680672268907565,SFS,1,"(6,)",7
20,0.2949579831932773,SBS,1,"(3,)",7
